campaign_id,week_start,acquisition_channel,impressions,clicks,installs,spend_usd
1,2026-03-01,paid_social,31281,690,149,122.91
2,2026-03-01,paid_search,15869,541,75,103.25
3,2026-03-01,referral,9908,450,47,9.69
4,2026-03-01,influencer,14369,855,78,49.03
5,2026-03-08,paid_social,36238,828,142,120.61
6,2026-03-08,paid_search,16717,918,69,89.86
7,2026-03-08,referral,13181,621,53,10.65
8,2026-03-08,influencer,17997,668,83,58.41
9,2026-03-15,paid_social,33829,1009,139,131.01
10,2026-03-15,paid_search,13318,663,73,110.74
11,2026-03-15,referral,7577,217,36,6.77
12,2026-03-15,influencer,20343,1114,95,60.53
13,2026-03-22,paid_social,25511,654,137,121.18
14,2026-03-22,paid_search,15992,551,82,122.64
15,2026-03-22,referral,8991,434,44,8.64
16,2026-03-22,influencer,16162,582,89,61.94
17,2026-03-29,paid_social,28566,1693,147,120.81
18,2026-03-29,paid_search,13475,452,67,90.8
19,2026-03-29,referral,10645,468,42,9.63
20,2026-03-29,influencer,13999,336,72,47.41
21,2026-04-05,paid_social,26291,615,125,117.45
22,2026-04-05,paid_search,15524,684,68,83.13
23,2026-04-05,referral,5999,318,26,4.94
24,2026-04-05,influencer,18599,958,90,52.85
25,2026-04-12,paid_social,30414,1281,138,138.91
26,2026-04-12,paid_search,15796,854,66,99.26
27,2026-04-12,referral,10838,296,43,9.32
28,2026-04-12,influencer,18385,976,94,66.81
29,2026-04-19,paid_social,28268,1198,125,125.75
30,2026-04-19,paid_search,14505,392,66,96.6
31,2026-04-19,referral,7701,371,40,8.9
32,2026-04-19,influencer,16792,843,93,60.12
33,2026-04-26,paid_social,31725,734,129,124.03
34,2026-04-26,paid_search,13535,760,60,90.05
35,2026-04-26,referral,11959,289,49,9.79
36,2026-04-26,influencer,17064,525,74,48.48
37,2026-05-03,paid_social,32645,1138,142,143.78
38,2026-05-03,paid_search,11719,339,64,87.74
39,2026-05-03,referral,8791,356,43,8.33
40,2026-05-03,influencer,15296,314,79,47.23
41,2026-05-10,paid_social,35387,1617,141,132.47
42,2026-05-10,paid_search,14023,639,72,107.98
43,2026-05-10,referral,9797,553,46,8.73
44,2026-05-10,influencer,20073,538,83,48.61
45,2026-05-17,paid_social,28331,1384,127,118.35
46,2026-05-17,paid_search,16613,570,79,107.39
47,2026-05-17,referral,10598,416,44,9.82
48,2026-05-17,influencer,20845,1093,88,64.59
49,2026-05-24,paid_social,31377,1216,145,135.37
50,2026-05-24,paid_search,21965,699,87,109.24
51,2026-05-24,referral,11327,366,45,8.88
52,2026-05-24,influencer,15989,697,86,62.07
53,2026-05-31,paid_social,32228,1030,129,115.27
54,2026-05-31,paid_search,19588,942,76,102.3
55,2026-05-31,referral,11145,654,47,10.46
56,2026-05-31,influencer,17885,472,91,64.12
57,2026-06-07,paid_social,36303,1463,147,133.54
58,2026-06-07,paid_search,15814,404,66,95.75
59,2026-06-07,referral,7691,445,42,7.81
60,2026-06-07,influencer,21795,633,91,57.7
61,2026-06-14,paid_social,29311,1535,143,139.11
62,2026-06-14,paid_search,17381,1006,79,107.61
63,2026-06-14,referral,9867,554,48,10.4
64,2026-06-14,influencer,17224,738,89,61.22
65,2026-06-21,paid_social,5703,324,22,20.87
66,2026-06-21,paid_search,1848,41,8,10.74
67,2026-06-21,referral,2554,110,10,1.93
68,2026-06-21,influencer,2846,125,13,7.75
69,2026-06-28,paid_social,258,12,0,0.85
70,2026-06-28,paid_search,202,8,0,1.54
71,2026-06-28,referral,204,4,0,0.2
72,2026-06-28,influencer,216,7,0,0.7
