post_id,user_id,post_date,feature,likes,comments,follows_gained
0,u_200000,2026-04-17,text_to_image,103,4,0
1,u_200003,2026-05-08,text_to_image,15,1,0
2,u_200009,2026-05-30,object_remover,3,0,1
3,u_200009,2026-04-25,text_to_image,22,5,0
4,u_200012,2026-05-23,text_to_image,18,1,0
5,u_200014,2026-05-31,flyer_poster_maker,1,0,1
6,u_200015,2026-06-22,text_to_image,14,0,0
7,u_200018,2026-05-19,text_to_image,77,1,0
8,u_200024,2026-05-20,style_transfer,19,0,0
9,u_200033,2026-05-01,background_remover,12,2,1
10,u_200034,2026-06-27,tattoo_generator,16,0,0
11,u_200042,2026-04-27,flyer_poster_maker,23,0,0
12,u_200049,2026-06-21,flyer_poster_maker,11,0,0
13,u_200055,2026-06-25,ai_headshot,1,1,0
14,u_200059,2026-05-16,outpaint_expand,0,1,0
15,u_200060,2026-06-23,text_to_image,2,0,0
16,u_200066,2026-05-14,logo_maker,48,1,0
17,u_200070,2026-03-27,image_to_image,11,0,1
18,u_200073,2026-06-28,tattoo_generator,12,1,0
19,u_200078,2026-05-13,image_to_image,19,0,1
20,u_200086,2026-05-12,image_to_image,46,1,2
21,u_200088,2026-05-02,text_to_image,3,1,0
22,u_200091,2026-06-21,video_generation,25,0,0
23,u_200094,2026-04-30,upscaler_4k8k,26,0,0
24,u_200095,2026-06-17,avatar_generator,25,0,1
25,u_200104,2026-05-24,logo_maker,4,1,0
26,u_200105,2026-04-05,image_to_image,15,0,0
27,u_200109,2026-06-26,text_to_image,20,3,0
28,u_200110,2026-05-31,image_to_image,26,0,1
29,u_200111,2026-06-13,ai_headshot,10,1,0
30,u_200115,2026-03-05,upscaler_4k8k,39,1,2
31,u_200117,2026-05-28,ai_headshot,101,1,0
32,u_200118,2026-05-21,text_to_image,8,0,0
33,u_200119,2026-06-24,outpaint_expand,3,0,0
34,u_200121,2026-06-06,image_to_image,1,2,0
35,u_200123,2026-05-28,text_to_image,10,0,0
36,u_200126,2026-05-01,logo_maker,36,2,0
37,u_200130,2026-04-16,upscaler_4k8k,11,0,1
38,u_200135,2026-05-30,background_remover,25,8,0
39,u_200138,2026-06-14,logo_maker,5,0,2
40,u_200140,2026-04-30,background_remover,39,0,1
41,u_200148,2026-04-16,text_to_image,27,3,0
42,u_200151,2026-05-07,outpaint_expand,18,0,1
43,u_200157,2026-05-05,object_remover,9,2,0
44,u_200159,2026-05-06,background_remover,19,0,0
45,u_200169,2026-04-27,image_to_image,9,3,0
46,u_200170,2026-06-24,text_to_image,0,1,0
47,u_200173,2026-06-15,upscaler_4k8k,6,2,0
48,u_200174,2026-06-22,upscaler_4k8k,31,1,0
49,u_200176,2026-04-21,text_to_image,29,1,0
50,u_200181,2026-06-06,background_remover,3,1,0
51,u_200187,2026-06-09,logo_maker,3,1,0
52,u_200187,2026-05-14,upscaler_4k8k,19,1,0
53,u_200193,2026-06-24,text_to_image,3,0,0
54,u_200199,2026-06-12,image_to_image,34,1,0
55,u_200221,2026-05-01,object_remover,30,0,0
56,u_200221,2026-05-07,text_to_image,30,2,0
57,u_200221,2026-06-15,background_remover,2,1,0
58,u_200225,2026-04-01,image_to_image,22,0,0
59,u_200228,2026-05-12,image_to_image,5,0,0
60,u_200228,2026-05-03,background_remover,19,3,1
61,u_200231,2026-05-09,background_remover,58,1,0
62,u_200240,2026-04-30,video_generation,28,10,0
63,u_200240,2026-05-07,interior_design,15,1,0
64,u_200253,2026-04-25,upscaler_4k8k,2,6,0
65,u_200256,2026-05-23,text_to_image,6,4,0
66,u_200256,2026-06-08,text_to_image,6,0,0
67,u_200270,2026-05-01,text_to_image,3,0,0
68,u_200285,2026-06-14,video_generation,4,4,0
69,u_200289,2026-06-20,avatar_generator,15,2,0
70,u_200292,2026-06-13,object_remover,3,0,0
71,u_200296,2026-04-09,object_remover,10,2,0
72,u_200304,2026-05-27,image_to_image,19,0,0
