transaction_id,user_id,transaction_date,transaction_type,credits,cost_usd
0,u_200000,2026-05-01,purchase,1500,9.0
1,u_200002,2026-05-07,purchase,5000,30.0
2,u_200003,2026-05-11,purchase,5000,30.0
3,u_200003,2026-05-15,refund,-2500,-15.0
4,u_200003,2026-05-06,purchase,500,3.0
5,u_200005,2026-06-25,purchase,1500,9.0
6,u_200006,2026-06-01,purchase,1500,9.0
7,u_200007,2026-04-09,purchase,1500,9.0
8,u_200010,2026-03-07,purchase,1500,9.0
9,u_200011,2026-06-26,purchase,500,3.0
10,u_200016,2026-05-29,purchase,1500,9.0
11,u_200019,2026-05-31,purchase,1500,9.0
12,u_200021,2026-05-06,purchase,500,3.0
13,u_200021,2026-05-13,purchase,500,3.0
14,u_200022,2026-04-15,purchase,500,3.0
15,u_200024,2026-04-08,purchase,5000,30.0
16,u_200033,2026-03-19,purchase,1500,9.0
17,u_200035,2026-05-04,purchase,500,3.0
18,u_200039,2026-05-25,purchase,1500,9.0
19,u_200040,2026-06-24,purchase,500,3.0
20,u_200041,2026-06-16,purchase,5000,30.0
21,u_200047,2026-05-18,purchase,500,3.0
22,u_200048,2026-05-08,purchase,500,3.0
23,u_200051,2026-04-25,purchase,5000,30.0
24,u_200055,2026-06-21,purchase,500,3.0
25,u_200059,2026-05-14,purchase,5000,30.0
26,u_200063,2026-06-28,purchase,500,3.0
27,u_200063,2026-06-24,purchase,500,3.0
28,u_200063,2026-06-25,purchase,500,3.0
29,u_200069,2026-04-30,purchase,5000,30.0
30,u_200070,2026-03-17,purchase,500,3.0
31,u_200075,2026-05-02,purchase,500,3.0
32,u_200075,2026-05-09,purchase,5000,30.0
33,u_200075,2026-05-06,purchase,1500,9.0
34,u_200076,2026-05-31,purchase,500,3.0
35,u_200077,2026-05-22,purchase,5000,30.0
36,u_200078,2026-04-13,purchase,5000,30.0
37,u_200080,2026-03-07,purchase,1500,9.0
38,u_200084,2026-04-12,purchase,1500,9.0
39,u_200087,2026-03-25,purchase,500,3.0
40,u_200096,2026-05-14,purchase,500,3.0
41,u_200102,2026-06-20,purchase,1500,9.0
42,u_200103,2026-03-19,purchase,1500,9.0
43,u_200107,2026-06-08,purchase,500,3.0
44,u_200107,2026-06-14,purchase,1500,9.0
45,u_200107,2026-06-08,purchase,5000,30.0
