subscription_event_id,user_id,event_date,event_type,plan_name,price_usd
0,u_200000,2026-04-17,account_created,free,0.0
1,u_200001,2026-05-29,account_created,free,0.0
2,u_200002,2026-04-25,account_created,free,0.0
3,u_200003,2026-05-01,account_created,free,0.0
4,u_200003,2026-05-10,upgrade,pro_monthly,9.99
5,u_200004,2026-05-23,account_created,free,0.0
6,u_200005,2026-06-14,account_created,free,0.0
7,u_200006,2026-05-31,account_created,free,0.0
8,u_200007,2026-04-01,account_created,free,0.0
9,u_200008,2026-06-16,account_created,free,0.0
10,u_200008,2026-06-25,upgrade,pro_annual,79.99
11,u_200009,2026-04-18,account_created,free,0.0
12,u_200009,2026-04-21,upgrade,pro_annual,79.99
13,u_200010,2026-03-04,account_created,free,0.0
14,u_200011,2026-06-20,account_created,free,0.0
15,u_200012,2026-03-07,account_created,free,0.0
16,u_200013,2026-05-19,account_created,free,0.0
17,u_200014,2026-05-16,account_created,free,0.0
18,u_200015,2026-04-25,account_created,free,0.0
19,u_200016,2026-05-22,account_created,free,0.0
20,u_200017,2026-03-15,account_created,free,0.0
21,u_200018,2026-03-14,account_created,free,0.0
22,u_200018,2026-03-16,upgrade,pro_annual,79.99
23,u_200019,2026-05-22,account_created,free,0.0
24,u_200020,2026-05-29,account_created,free,0.0
25,u_200021,2026-05-04,account_created,free,0.0
26,u_200022,2026-04-10,account_created,free,0.0
27,u_200023,2026-06-01,account_created,free,0.0
28,u_200023,2026-06-07,upgrade,pro_monthly,9.99
29,u_200024,2026-03-25,account_created,free,0.0
30,u_200025,2026-05-01,account_created,free,0.0
31,u_200026,2026-03-09,account_created,free,0.0
32,u_200027,2026-04-13,account_created,free,0.0
33,u_200028,2026-05-10,account_created,free,0.0
34,u_200029,2026-05-31,account_created,free,0.0
35,u_200030,2026-05-10,account_created,free,0.0
36,u_200031,2026-05-24,account_created,free,0.0
37,u_200032,2026-05-11,account_created,free,0.0
38,u_200033,2026-03-09,account_created,free,0.0
39,u_200033,2026-03-16,upgrade,pro_monthly,9.99
40,u_200034,2026-04-19,account_created,free,0.0
41,u_200034,2026-04-21,upgrade,pro_monthly,9.99
42,u_200035,2026-04-20,account_created,free,0.0
43,u_200036,2026-06-18,account_created,free,0.0
44,u_200037,2026-04-11,account_created,free,0.0
45,u_200038,2026-04-16,account_created,free,0.0
46,u_200039,2026-05-20,account_created,free,0.0
47,u_200040,2026-06-21,account_created,free,0.0
48,u_200041,2026-06-02,account_created,free,0.0
49,u_200041,2026-06-04,upgrade,pro_monthly,9.99
50,u_200042,2026-03-21,account_created,free,0.0
51,u_200043,2026-06-11,account_created,free,0.0
52,u_200043,2026-06-13,upgrade,pro_monthly,9.99
53,u_200044,2026-03-29,account_created,free,0.0
54,u_200045,2026-05-11,account_created,free,0.0
55,u_200046,2026-04-01,account_created,free,0.0
56,u_200047,2026-05-16,account_created,free,0.0
57,u_200047,2026-05-22,upgrade,pro_annual,79.99
58,u_200048,2026-05-08,account_created,free,0.0
59,u_200049,2026-05-20,account_created,free,0.0
60,u_200050,2026-05-17,account_created,free,0.0
61,u_200051,2026-04-15,account_created,free,0.0
62,u_200052,2026-05-12,account_created,free,0.0
63,u_200053,2026-03-26,account_created,free,0.0
64,u_200053,2026-03-31,upgrade,pro_annual,79.99
65,u_200054,2026-05-26,account_created,free,0.0
66,u_200055,2026-06-10,account_created,free,0.0
67,u_200056,2026-05-19,account_created,free,0.0
68,u_200057,2026-05-05,account_created,free,0.0
69,u_200058,2026-03-27,account_created,free,0.0
70,u_200059,2026-05-14,account_created,free,0.0
71,u_200059,2026-05-16,upgrade,pro_annual,79.99
72,u_200060,2026-05-12,account_created,free,0.0
73,u_200061,2026-04-22,account_created,free,0.0
74,u_200062,2026-06-03,account_created,free,0.0
75,u_200063,2026-06-20,account_created,free,0.0
76,u_200063,2026-06-21,upgrade,pro_monthly,9.99
77,u_200064,2026-03-30,account_created,free,0.0
78,u_200065,2026-06-19,account_created,free,0.0
79,u_200066,2026-03-18,account_created,free,0.0
80,u_200067,2026-06-10,account_created,free,0.0
81,u_200067,2026-06-16,upgrade,pro_monthly,9.99
82,u_200068,2026-04-21,account_created,free,0.0
83,u_200069,2026-04-16,account_created,free,0.0
84,u_200070,2026-03-12,account_created,free,0.0
85,u_200071,2026-05-05,account_created,free,0.0
86,u_200072,2026-05-26,account_created,free,0.0
87,u_200073,2026-06-06,account_created,free,0.0
88,u_200074,2026-04-28,account_created,free,0.0
89,u_200075,2026-04-30,account_created,free,0.0
90,u_200076,2026-05-28,account_created,free,0.0
91,u_200077,2026-05-21,account_created,free,0.0
92,u_200078,2026-03-31,account_created,free,0.0
93,u_200079,2026-04-09,account_created,free,0.0
94,u_200080,2026-03-02,account_created,free,0.0
95,u_200081,2026-05-24,account_created,free,0.0
96,u_200082,2026-04-08,account_created,free,0.0
97,u_200083,2026-04-18,account_created,free,0.0
98,u_200084,2026-03-29,account_created,free,0.0
99,u_200085,2026-03-17,account_created,free,0.0
100,u_200086,2026-04-15,account_created,free,0.0
101,u_200086,2026-04-20,upgrade,pro_monthly,9.99
102,u_200087,2026-03-20,account_created,free,0.0
103,u_200088,2026-04-13,account_created,free,0.0
104,u_200089,2026-03-27,account_created,free,0.0
105,u_200090,2026-05-29,account_created,free,0.0
106,u_200091,2026-04-18,account_created,free,0.0
107,u_200092,2026-04-06,account_created,free,0.0
108,u_200093,2026-05-01,account_created,free,0.0
109,u_200094,2026-04-10,account_created,free,0.0
110,u_200094,2026-04-13,upgrade,pro_monthly,9.99
111,u_200095,2026-04-25,account_created,free,0.0
112,u_200096,2026-05-12,account_created,free,0.0
113,u_200096,2026-05-13,upgrade,pro_monthly,9.99
114,u_200096,2026-05-29,cancellation,pro_monthly,0.0
115,u_200097,2026-04-03,account_created,free,0.0
116,u_200098,2026-05-01,account_created,free,0.0
117,u_200099,2026-05-09,account_created,free,0.0
118,u_200100,2026-04-19,account_created,free,0.0
119,u_200100,2026-04-22,upgrade,pro_monthly,9.99
120,u_200100,2026-06-28,cancellation,pro_monthly,0.0
121,u_200101,2026-03-14,account_created,free,0.0
122,u_200102,2026-06-19,account_created,free,0.0
123,u_200103,2026-03-09,account_created,free,0.0
124,u_200104,2026-03-25,account_created,free,0.0
125,u_200105,2026-03-20,account_created,free,0.0
126,u_200106,2026-06-03,account_created,free,0.0
127,u_200107,2026-06-05,account_created,free,0.0
128,u_200108,2026-04-02,account_created,free,0.0
129,u_200109,2026-05-14,account_created,free,0.0
130,u_200110,2026-05-29,account_created,free,0.0
131,u_200110,2026-06-03,upgrade,pro_monthly,9.99
132,u_200111,2026-05-29,account_created,free,0.0
133,u_200111,2026-06-06,upgrade,pro_annual,79.99
134,u_200112,2026-04-18,account_created,free,0.0
135,u_200113,2026-06-06,account_created,free,0.0
136,u_200114,2026-04-18,account_created,free,0.0
137,u_200115,2026-03-02,account_created,free,0.0
138,u_200116,2026-04-10,account_created,free,0.0
139,u_200117,2026-03-01,account_created,free,0.0
140,u_200118,2026-03-05,account_created,free,0.0
141,u_200118,2026-03-09,upgrade,pro_monthly,9.99
142,u_200119,2026-05-28,account_created,free,0.0
143,u_200120,2026-05-18,account_created,free,0.0
144,u_200121,2026-04-28,account_created,free,0.0
145,u_200122,2026-03-27,account_created,free,0.0
146,u_200122,2026-03-31,upgrade,pro_monthly,9.99
147,u_200123,2026-05-20,account_created,free,0.0
148,u_200124,2026-03-10,account_created,free,0.0
149,u_200125,2026-05-28,account_created,free,0.0
150,u_200126,2026-04-13,account_created,free,0.0
151,u_200127,2026-03-30,account_created,free,0.0
152,u_200127,2026-04-06,upgrade,pro_annual,79.99
153,u_200128,2026-04-12,account_created,free,0.0
154,u_200129,2026-04-18,account_created,free,0.0
155,u_200130,2026-04-01,account_created,free,0.0
156,u_200131,2026-03-11,account_created,free,0.0
157,u_200132,2026-03-01,account_created,free,0.0
158,u_200133,2026-03-06,account_created,free,0.0
159,u_200134,2026-03-24,account_created,free,0.0
160,u_200135,2026-05-09,account_created,free,0.0
161,u_200136,2026-04-24,account_created,free,0.0
162,u_200137,2026-06-01,account_created,free,0.0
163,u_200137,2026-06-09,upgrade,pro_monthly,9.99
164,u_200138,2026-03-05,account_created,free,0.0
165,u_200139,2026-06-15,account_created,free,0.0
166,u_200140,2026-03-02,account_created,free,0.0
167,u_200141,2026-03-01,account_created,free,0.0
168,u_200142,2026-06-17,account_created,free,0.0
169,u_200143,2026-06-14,account_created,free,0.0
170,u_200144,2026-05-31,account_created,free,0.0
171,u_200144,2026-06-02,upgrade,pro_annual,79.99
172,u_200145,2026-06-13,account_created,free,0.0
173,u_200146,2026-05-01,account_created,free,0.0
174,u_200147,2026-05-13,account_created,free,0.0
175,u_200148,2026-03-19,account_created,free,0.0
176,u_200149,2026-06-07,account_created,free,0.0
177,u_200150,2026-05-28,account_created,free,0.0
178,u_200151,2026-04-18,account_created,free,0.0
179,u_200151,2026-04-20,upgrade,pro_monthly,9.99
180,u_200152,2026-03-01,account_created,free,0.0
181,u_200153,2026-05-09,account_created,free,0.0
182,u_200154,2026-03-26,account_created,free,0.0
183,u_200155,2026-03-10,account_created,free,0.0
184,u_200156,2026-03-06,account_created,free,0.0
185,u_200157,2026-03-03,account_created,free,0.0
186,u_200158,2026-05-27,account_created,free,0.0
187,u_200159,2026-04-11,account_created,free,0.0
188,u_200160,2026-03-11,account_created,free,0.0
189,u_200161,2026-03-26,account_created,free,0.0
190,u_200162,2026-04-24,account_created,free,0.0
191,u_200163,2026-06-10,account_created,free,0.0
192,u_200164,2026-03-23,account_created,free,0.0
193,u_200165,2026-06-21,account_created,free,0.0
194,u_200166,2026-04-22,account_created,free,0.0
195,u_200166,2026-04-26,upgrade,pro_monthly,9.99
196,u_200167,2026-06-03,account_created,free,0.0
197,u_200167,2026-06-09,upgrade,pro_monthly,9.99
198,u_200168,2026-06-13,account_created,free,0.0
199,u_200169,2026-03-06,account_created,free,0.0
200,u_200170,2026-04-15,account_created,free,0.0
201,u_200171,2026-05-26,account_created,free,0.0
202,u_200172,2026-06-08,account_created,free,0.0
203,u_200172,2026-06-16,upgrade,pro_monthly,9.99
204,u_200173,2026-03-05,account_created,free,0.0
205,u_200174,2026-03-31,account_created,free,0.0
206,u_200175,2026-03-28,account_created,free,0.0
207,u_200176,2026-03-22,account_created,free,0.0
208,u_200177,2026-03-30,account_created,free,0.0
209,u_200178,2026-03-27,account_created,free,0.0
210,u_200178,2026-03-29,upgrade,enterprise,299.0
211,u_200179,2026-03-25,account_created,free,0.0
212,u_200180,2026-03-09,account_created,free,0.0
213,u_200181,2026-03-16,account_created,free,0.0
214,u_200182,2026-05-04,account_created,free,0.0
215,u_200183,2026-06-02,account_created,free,0.0
216,u_200184,2026-04-09,account_created,free,0.0
217,u_200185,2026-04-17,account_created,free,0.0
218,u_200186,2026-06-05,account_created,free,0.0
219,u_200186,2026-06-06,upgrade,pro_monthly,9.99
220,u_200187,2026-04-02,account_created,free,0.0
221,u_200187,2026-04-06,upgrade,pro_monthly,9.99
222,u_200187,2026-06-01,cancellation,pro_monthly,0.0
223,u_200188,2026-06-10,account_created,free,0.0
224,u_200189,2026-03-06,account_created,free,0.0
225,u_200190,2026-03-11,account_created,free,0.0
226,u_200191,2026-06-17,account_created,free,0.0
227,u_200192,2026-04-01,account_created,free,0.0
228,u_200193,2026-05-26,account_created,free,0.0
229,u_200194,2026-03-18,account_created,free,0.0
230,u_200194,2026-03-24,upgrade,pro_monthly,9.99
231,u_200195,2026-05-03,account_created,free,0.0
232,u_200196,2026-06-21,account_created,free,0.0
233,u_200197,2026-06-10,account_created,free,0.0
234,u_200198,2026-04-25,account_created,free,0.0
235,u_200199,2026-04-12,account_created,free,0.0
236,u_200199,2026-04-13,upgrade,pro_monthly,9.99
237,u_200200,2026-03-30,account_created,free,0.0
238,u_200201,2026-03-07,account_created,free,0.0
239,u_200202,2026-05-18,account_created,free,0.0
240,u_200202,2026-05-22,upgrade,pro_annual,79.99
241,u_200203,2026-05-23,account_created,free,0.0
242,u_200204,2026-06-02,account_created,free,0.0
243,u_200205,2026-04-22,account_created,free,0.0
244,u_200206,2026-05-11,account_created,free,0.0
245,u_200206,2026-05-17,upgrade,pro_monthly,9.99
246,u_200207,2026-04-22,account_created,free,0.0
247,u_200208,2026-04-08,account_created,free,0.0
248,u_200209,2026-04-10,account_created,free,0.0
249,u_200210,2026-04-07,account_created,free,0.0
250,u_200211,2026-06-11,account_created,free,0.0
251,u_200212,2026-06-15,account_created,free,0.0
252,u_200213,2026-05-03,account_created,free,0.0
253,u_200214,2026-03-19,account_created,free,0.0
254,u_200215,2026-05-23,account_created,free,0.0
255,u_200216,2026-05-05,account_created,free,0.0
256,u_200217,2026-03-30,account_created,free,0.0
257,u_200218,2026-05-15,account_created,free,0.0
258,u_200219,2026-03-07,account_created,free,0.0
259,u_200220,2026-03-17,account_created,free,0.0
260,u_200221,2026-04-14,account_created,free,0.0
261,u_200221,2026-04-22,upgrade,pro_monthly,9.99
262,u_200222,2026-03-28,account_created,free,0.0
263,u_200223,2026-03-28,account_created,free,0.0
264,u_200224,2026-03-30,account_created,free,0.0
265,u_200225,2026-03-12,account_created,free,0.0
266,u_200226,2026-05-01,account_created,free,0.0
267,u_200227,2026-04-16,account_created,free,0.0
268,u_200228,2026-03-21,account_created,free,0.0
269,u_200228,2026-03-24,upgrade,pro_monthly,9.99
270,u_200229,2026-06-09,account_created,free,0.0
271,u_200230,2026-03-22,account_created,free,0.0
272,u_200231,2026-03-11,account_created,free,0.0
273,u_200231,2026-03-12,upgrade,pro_annual,79.99
274,u_200232,2026-03-10,account_created,free,0.0
275,u_200233,2026-03-11,account_created,free,0.0
276,u_200234,2026-05-21,account_created,free,0.0
277,u_200234,2026-05-28,upgrade,enterprise,299.0
278,u_200235,2026-04-11,account_created,free,0.0
279,u_200235,2026-04-15,upgrade,pro_monthly,9.99
280,u_200236,2026-03-14,account_created,free,0.0
281,u_200237,2026-06-19,account_created,free,0.0
282,u_200237,2026-06-24,upgrade,pro_monthly,9.99
283,u_200238,2026-05-04,account_created,free,0.0
284,u_200239,2026-06-03,account_created,free,0.0
285,u_200240,2026-04-02,account_created,free,0.0
286,u_200240,2026-04-05,upgrade,pro_monthly,9.99
287,u_200240,2026-05-10,cancellation,pro_monthly,0.0
288,u_200241,2026-05-27,account_created,free,0.0
289,u_200241,2026-05-29,upgrade,pro_monthly,9.99
290,u_200242,2026-05-24,account_created,free,0.0
291,u_200243,2026-06-16,account_created,free,0.0
292,u_200244,2026-03-01,account_created,free,0.0
293,u_200245,2026-04-12,account_created,free,0.0
294,u_200246,2026-03-15,account_created,free,0.0
295,u_200247,2026-05-14,account_created,free,0.0
296,u_200248,2026-04-16,account_created,free,0.0
297,u_200248,2026-04-21,upgrade,pro_annual,79.99
298,u_200249,2026-04-28,account_created,free,0.0
299,u_200250,2026-03-23,account_created,free,0.0
300,u_200251,2026-06-02,account_created,free,0.0
301,u_200252,2026-03-09,account_created,free,0.0
302,u_200253,2026-03-09,account_created,free,0.0
303,u_200254,2026-06-08,account_created,free,0.0
304,u_200255,2026-06-06,account_created,free,0.0
305,u_200255,2026-06-12,upgrade,pro_monthly,9.99
306,u_200256,2026-04-24,account_created,free,0.0
307,u_200257,2026-04-07,account_created,free,0.0
308,u_200258,2026-06-18,account_created,free,0.0
309,u_200259,2026-06-16,account_created,free,0.0
310,u_200260,2026-04-12,account_created,free,0.0
311,u_200261,2026-03-27,account_created,free,0.0
312,u_200262,2026-05-04,account_created,free,0.0
313,u_200263,2026-03-22,account_created,free,0.0
314,u_200264,2026-05-18,account_created,free,0.0
315,u_200265,2026-04-24,account_created,free,0.0
316,u_200266,2026-04-05,account_created,free,0.0
317,u_200267,2026-06-01,account_created,free,0.0
318,u_200268,2026-03-26,account_created,free,0.0
319,u_200269,2026-06-16,account_created,free,0.0
320,u_200270,2026-03-15,account_created,free,0.0
321,u_200271,2026-04-09,account_created,free,0.0
322,u_200271,2026-04-10,upgrade,pro_monthly,9.99
323,u_200272,2026-04-09,account_created,free,0.0
324,u_200273,2026-05-31,account_created,free,0.0
325,u_200274,2026-04-15,account_created,free,0.0
326,u_200275,2026-05-13,account_created,free,0.0
327,u_200276,2026-05-19,account_created,free,0.0
328,u_200277,2026-06-06,account_created,free,0.0
329,u_200278,2026-04-20,account_created,free,0.0
330,u_200279,2026-05-21,account_created,free,0.0
331,u_200280,2026-03-01,account_created,free,0.0
332,u_200280,2026-03-02,upgrade,pro_monthly,9.99
333,u_200281,2026-05-11,account_created,free,0.0
334,u_200282,2026-04-11,account_created,free,0.0
335,u_200283,2026-06-03,account_created,free,0.0
336,u_200284,2026-06-08,account_created,free,0.0
337,u_200284,2026-06-10,upgrade,pro_annual,79.99
338,u_200285,2026-04-22,account_created,free,0.0
339,u_200285,2026-04-26,upgrade,enterprise,299.0
340,u_200286,2026-05-09,account_created,free,0.0
341,u_200287,2026-04-23,account_created,free,0.0
342,u_200288,2026-03-30,account_created,free,0.0
343,u_200288,2026-04-04,upgrade,pro_annual,79.99
344,u_200289,2026-06-09,account_created,free,0.0
345,u_200290,2026-06-16,account_created,free,0.0
346,u_200291,2026-06-03,account_created,free,0.0
347,u_200292,2026-04-14,account_created,free,0.0
348,u_200293,2026-05-19,account_created,free,0.0
349,u_200294,2026-06-13,account_created,free,0.0
350,u_200295,2026-05-21,account_created,free,0.0
351,u_200296,2026-03-14,account_created,free,0.0
352,u_200297,2026-03-20,account_created,free,0.0
353,u_200298,2026-05-10,account_created,free,0.0
354,u_200299,2026-05-22,account_created,free,0.0
355,u_200300,2026-05-13,account_created,free,0.0
356,u_200301,2026-06-15,account_created,free,0.0
357,u_200302,2026-06-10,account_created,free,0.0
358,u_200303,2026-05-26,account_created,free,0.0
359,u_200304,2026-05-16,account_created,free,0.0
360,u_200305,2026-04-29,account_created,free,0.0
361,u_200305,2026-05-08,upgrade,pro_annual,79.99
362,u_200306,2026-04-13,account_created,free,0.0
