user_id,signup_date,acquisition_channel,country,platform,plan_tier,age_bucket,app_version,os_version
u_200000,2026-04-17,paid_social,United States,Web,free,18-24,7.0.0,n/a
u_200001,2026-05-29,paid_social,United States,Android,free,18-24,7.0.0,15
u_200002,2026-04-25,paid_search,Germany,iOS,free,35-44,7.0.0,16.5
u_200003,2026-05-01,app_store_browse,United States,Android,pro_monthly,18-24,7.0.1,13
u_200004,2026-05-23,referral,India,iOS,free,18-24,7.1.0,18.2
u_200005,2026-06-14,influencer,Saudi Arabia,iOS,free,18-24,7.0.1,18.2
u_200006,2026-05-31,paid_search,Brazil,Android,free,18-24,7.1.0,13
u_200007,2026-04-01,organic_search,India,Android,free,25-34,7.0.1,14
u_200008,2026-06-16,referral,United Arab Emirates,Android,pro_annual,18-24,7.1.0,13
u_200009,2026-04-18,organic_search,United States,Web,pro_annual,25-34,7.1.0,n/a
u_200010,2026-03-04,influencer,United Arab Emirates,iOS,free,25-34,7.1.0,18.2
u_200011,2026-06-20,paid_search,United States,Android,free,25-34,7.1.0,12
u_200012,2026-03-07,organic_search,Saudi Arabia,Web,free,45+,7.1.0,n/a
u_200013,2026-05-19,paid_search,India,iOS,free,35-44,7.1.0,17.0
u_200014,2026-05-16,paid_social,India,Android,free,13-17,7.1.0,15
u_200015,2026-04-25,influencer,Pakistan,Android,free,35-44,6.9.2,13
u_200016,2026-05-22,influencer,Brazil,iOS,free,25-34,7.1.0,17.0
u_200017,2026-03-15,paid_social,Saudi Arabia,Web,free,35-44,7.0.1,n/a
u_200018,2026-03-14,organic_search,United States,Android,pro_annual,25-34,6.9.2,13
u_200019,2026-05-22,influencer,United States,Android,free,25-34,7.0.0,12
u_200020,2026-05-29,paid_search,Nigeria,iOS,free,18-24,6.9.0,16.5
u_200021,2026-05-04,organic_search,United States,iOS,free,45+,7.0.1,16.5
u_200022,2026-04-10,app_store_browse,United Kingdom,iOS,free,35-44,7.0.1,17.4
u_200023,2026-06-01,paid_search,United States,Web,pro_monthly,25-34,7.0.0,n/a
u_200024,2026-03-25,app_store_browse,Pakistan,Android,free,25-34,6.9.2,12
u_200025,2026-05-01,paid_social,Turkey,Android,free,18-24,6.9.2,14
u_200026,2026-03-09,app_store_browse,Philippines,iOS,free,18-24,7.0.0,18.2
u_200027,2026-04-13,paid_social,Brazil,Android,free,25-34,7.1.0,13
u_200028,2026-05-10,organic_search,United Arab Emirates,iOS,free,25-34,7.1.0,17.4
u_200029,2026-05-31,paid_social,United States,iOS,free,13-17,7.0.1,17.0
u_200030,2026-05-10,paid_social,Indonesia,iOS,free,18-24,6.9.0,18.2
u_200031,2026-05-24,paid_social,Germany,Android,free,35-44,7.0.0,12
u_200032,2026-05-11,organic_search,United States,Android,free,25-34,7.0.0,14
u_200033,2026-03-09,organic_search,Turkey,iOS,pro_monthly,35-44,7.1.0,16.5
u_200034,2026-04-19,organic_search,United States,iOS,pro_monthly,25-34,7.0.1,16.5
u_200035,2026-04-20,paid_search,Pakistan,Android,free,25-34,7.0.1,15
u_200036,2026-06-18,referral,Philippines,iOS,free,35-44,7.0.0,18.2
u_200037,2026-04-11,organic_search,Indonesia,Android,free,45+,6.9.2,15
u_200038,2026-04-16,app_store_browse,United Kingdom,iOS,free,45+,6.9.2,16.5
u_200039,2026-05-20,paid_search,Turkey,Android,free,18-24,7.0.1,12
u_200040,2026-06-21,paid_social,Nigeria,Web,free,18-24,6.9.2,n/a
u_200041,2026-06-02,app_store_browse,Philippines,Android,pro_monthly,13-17,7.0.1,14
u_200042,2026-03-21,paid_social,Pakistan,Web,free,25-34,7.1.0,n/a
u_200043,2026-06-11,paid_search,Nigeria,Web,pro_monthly,18-24,7.1.0,n/a
u_200044,2026-03-29,organic_search,United States,Android,free,18-24,7.1.0,12
u_200045,2026-05-11,paid_search,Indonesia,Android,free,18-24,7.1.0,15
u_200046,2026-04-01,referral,United States,Web,free,25-34,7.0.1,n/a
u_200047,2026-05-16,referral,United States,iOS,pro_annual,25-34,7.1.0,18.0
u_200048,2026-05-08,influencer,Brazil,iOS,free,25-34,7.0.1,18.0
u_200049,2026-05-20,organic_search,Saudi Arabia,Android,free,25-34,7.1.0,14
u_200050,2026-05-17,organic_search,United States,Android,free,25-34,7.0.1,12
u_200051,2026-04-15,paid_social,United States,Android,free,25-34,7.1.0,15
u_200052,2026-05-12,paid_social,United Arab Emirates,iOS,free,13-17,7.0.0,18.2
u_200053,2026-03-26,referral,United States,Android,pro_annual,45+,7.1.0,14
u_200054,2026-05-26,paid_search,Philippines,Android,free,35-44,7.1.0,13
u_200055,2026-06-10,paid_social,Brazil,Android,free,13-17,7.0.1,15
u_200056,2026-05-19,paid_social,Philippines,iOS,free,35-44,7.1.0,17.4
u_200057,2026-05-05,paid_social,United Kingdom,Web,free,35-44,7.1.0,n/a
u_200058,2026-03-27,paid_social,United Arab Emirates,Android,free,18-24,7.0.0,15
u_200059,2026-05-14,app_store_browse,Brazil,Web,pro_annual,45+,6.8.0,n/a
u_200060,2026-05-12,influencer,India,Android,free,18-24,7.0.0,14
u_200061,2026-04-22,influencer,United States,iOS,free,25-34,6.9.2,17.4
u_200062,2026-06-03,paid_social,Indonesia,iOS,free,25-34,6.9.2,18.0
u_200063,2026-06-20,paid_search,Brazil,Android,pro_monthly,25-34,7.1.0,12
u_200064,2026-03-30,paid_social,Brazil,iOS,free,35-44,7.1.0,17.4
u_200065,2026-06-19,influencer,Pakistan,Android,free,18-24,7.0.1,13
u_200066,2026-03-18,paid_social,Saudi Arabia,Android,free,25-34,7.1.0,12
u_200067,2026-06-10,paid_social,Pakistan,Web,pro_monthly,18-24,6.9.2,n/a
u_200068,2026-04-21,influencer,United States,iOS,free,25-34,7.0.1,18.0
u_200069,2026-04-16,influencer,Germany,Android,free,25-34,6.9.2,12
u_200070,2026-03-12,paid_search,Brazil,Web,free,25-34,6.9.0,n/a
u_200071,2026-05-05,influencer,Pakistan,iOS,free,18-24,7.0.1,17.4
u_200072,2026-05-26,paid_search,Brazil,Web,free,35-44,7.1.0,n/a
u_200073,2026-06-06,paid_search,Pakistan,iOS,free,45+,7.1.0,17.0
u_200074,2026-04-28,organic_search,India,Android,free,18-24,7.0.1,13
u_200075,2026-04-30,paid_search,United Arab Emirates,Android,free,18-24,7.1.0,13
u_200076,2026-05-28,organic_search,Philippines,Android,free,35-44,6.9.2,15
u_200077,2026-05-21,paid_social,Saudi Arabia,iOS,free,18-24,7.0.0,16.5
u_200078,2026-03-31,organic_search,Brazil,Android,free,25-34,6.8.0,15
u_200079,2026-04-09,referral,Saudi Arabia,iOS,free,45+,7.1.0,17.0
u_200080,2026-03-02,paid_social,United States,iOS,free,45+,7.0.1,17.0
u_200081,2026-05-24,organic_search,Pakistan,Android,free,18-24,7.1.0,13
u_200082,2026-04-08,influencer,Brazil,iOS,free,25-34,7.1.0,18.0
u_200083,2026-04-18,paid_social,United States,iOS,free,18-24,6.9.2,16.5
u_200084,2026-03-29,referral,India,Web,free,18-24,7.0.1,n/a
u_200085,2026-03-17,paid_social,Pakistan,Android,free,25-34,7.1.0,13
u_200086,2026-04-15,paid_social,United Arab Emirates,Android,pro_monthly,25-34,7.0.1,14
u_200087,2026-03-20,referral,United Kingdom,Web,free,25-34,6.9.0,n/a
u_200088,2026-04-13,influencer,Pakistan,iOS,free,35-44,7.0.0,17.0
u_200089,2026-03-27,influencer,Germany,Android,free,18-24,7.1.0,13
u_200090,2026-05-29,paid_social,Philippines,iOS,free,18-24,7.0.0,17.4
u_200091,2026-04-18,organic_search,United States,Android,free,45+,6.8.0,12
u_200092,2026-04-06,paid_social,United States,iOS,free,18-24,7.0.1,18.0
u_200093,2026-05-01,organic_search,United Arab Emirates,iOS,free,18-24,7.0.1,18.2
u_200094,2026-04-10,paid_social,United States,Web,pro_monthly,25-34,7.0.1,n/a
u_200095,2026-04-25,paid_search,India,Android,free,25-34,6.8.0,13
u_200096,2026-05-12,organic_search,India,Web,pro_monthly,18-24,6.9.2,n/a
u_200097,2026-04-03,organic_search,Pakistan,Android,free,35-44,7.1.0,14
u_200098,2026-05-01,influencer,United States,Android,free,35-44,6.9.0,12
u_200099,2026-05-09,paid_social,United States,iOS,free,13-17,7.0.0,18.2
u_200100,2026-04-19,paid_search,Turkey,Web,pro_monthly,18-24,7.0.0,n/a
u_200101,2026-03-14,paid_social,United States,Web,free,18-24,7.1.0,n/a
u_200102,2026-06-19,influencer,India,Android,free,18-24,7.0.1,15
u_200103,2026-03-09,organic_search,Saudi Arabia,Android,free,25-34,7.0.1,12
u_200104,2026-03-25,referral,Saudi Arabia,Android,free,18-24,7.1.0,13
u_200105,2026-03-20,organic_search,United States,iOS,free,25-34,7.1.0,17.0
u_200106,2026-06-03,paid_social,India,Android,free,35-44,6.9.2,15
u_200107,2026-06-05,influencer,Saudi Arabia,iOS,free,45+,7.0.1,18.0
u_200108,2026-04-02,influencer,United States,iOS,free,35-44,6.9.2,16.5
u_200109,2026-05-14,paid_social,United Arab Emirates,Android,free,35-44,7.0.0,12
u_200110,2026-05-29,organic_search,Indonesia,Android,pro_monthly,18-24,7.0.1,15
u_200111,2026-05-29,referral,United States,iOS,pro_annual,25-34,6.8.0,16.5
u_200112,2026-04-18,paid_search,Turkey,Android,free,18-24,6.9.2,13
u_200113,2026-06-06,referral,United States,iOS,free,18-24,7.1.0,17.0
u_200114,2026-04-18,app_store_browse,United States,iOS,free,45+,6.8.0,18.2
u_200115,2026-03-02,influencer,Nigeria,iOS,free,25-34,6.9.2,17.4
u_200116,2026-04-10,organic_search,Nigeria,Android,free,18-24,7.0.1,13
u_200117,2026-03-01,paid_search,United Arab Emirates,Android,free,45+,7.0.1,12
u_200118,2026-03-05,influencer,Indonesia,Android,pro_monthly,25-34,6.9.0,12
u_200119,2026-05-28,organic_search,United Arab Emirates,iOS,free,35-44,6.9.2,18.0
u_200120,2026-05-18,organic_search,Turkey,Android,free,18-24,7.1.0,14
u_200121,2026-04-28,referral,India,iOS,free,18-24,7.0.1,17.0
u_200122,2026-03-27,app_store_browse,Indonesia,Web,pro_monthly,45+,7.0.1,n/a
u_200123,2026-05-20,organic_search,United States,iOS,free,35-44,7.1.0,18.0
u_200124,2026-03-10,paid_social,United Arab Emirates,Android,free,18-24,7.1.0,13
u_200125,2026-05-28,paid_social,Turkey,iOS,free,18-24,7.0.1,18.0
u_200126,2026-04-13,influencer,India,Android,free,18-24,7.1.0,13
u_200127,2026-03-30,paid_social,India,iOS,pro_annual,18-24,6.9.2,16.5
u_200128,2026-04-12,organic_search,Nigeria,Android,free,35-44,7.0.1,13
u_200129,2026-04-18,paid_social,Brazil,Android,free,25-34,7.0.1,13
u_200130,2026-04-01,referral,Saudi Arabia,Android,free,18-24,7.1.0,14
u_200131,2026-03-11,paid_social,Saudi Arabia,iOS,free,13-17,7.1.0,18.0
u_200132,2026-03-01,referral,India,Android,free,35-44,7.0.0,15
u_200133,2026-03-06,paid_search,United States,iOS,free,45+,7.0.1,18.0
u_200134,2026-03-24,paid_social,India,iOS,free,18-24,7.1.0,18.0
u_200135,2026-05-09,organic_search,Germany,Android,free,35-44,7.0.0,14
u_200136,2026-04-24,organic_search,United States,Android,free,18-24,7.1.0,12
u_200137,2026-06-01,influencer,Germany,iOS,pro_monthly,35-44,7.0.1,17.0
u_200138,2026-03-05,influencer,Philippines,iOS,free,18-24,7.0.1,17.4
u_200139,2026-06-15,paid_social,India,Web,free,25-34,6.9.0,n/a
u_200140,2026-03-02,influencer,United Kingdom,Android,free,45+,6.9.0,12
u_200141,2026-03-01,influencer,United States,Android,free,25-34,7.1.0,14
u_200142,2026-06-17,influencer,United States,Web,free,35-44,6.9.0,n/a
u_200143,2026-06-14,influencer,India,iOS,free,18-24,7.1.0,18.0
u_200144,2026-05-31,paid_social,Nigeria,Android,pro_annual,18-24,7.1.0,15
u_200145,2026-06-13,paid_search,Indonesia,Web,free,25-34,7.1.0,n/a
u_200146,2026-05-01,paid_social,Turkey,Android,free,25-34,7.0.0,14
u_200147,2026-05-13,organic_search,India,Android,free,25-34,6.9.2,12
u_200148,2026-03-19,organic_search,Brazil,iOS,free,18-24,7.0.1,17.0
u_200149,2026-06-07,organic_search,India,iOS,free,25-34,6.9.0,18.0
u_200150,2026-05-28,app_store_browse,United States,Android,free,35-44,7.1.0,12
u_200151,2026-04-18,app_store_browse,Nigeria,iOS,pro_monthly,25-34,6.9.0,17.4
u_200152,2026-03-01,organic_search,Germany,iOS,free,25-34,7.1.0,18.0
u_200153,2026-05-09,organic_search,Turkey,Android,free,18-24,7.0.1,13
u_200154,2026-03-26,organic_search,Philippines,Web,free,18-24,6.8.0,n/a
u_200155,2026-03-10,paid_social,United Arab Emirates,Android,free,25-34,7.0.0,15
u_200156,2026-03-06,paid_social,Pakistan,iOS,free,45+,6.9.2,17.0
u_200157,2026-03-03,paid_social,Turkey,Android,free,25-34,7.0.0,14
u_200158,2026-05-27,influencer,Indonesia,Android,free,25-34,7.0.1,13
u_200159,2026-04-11,organic_search,United States,iOS,free,18-24,6.9.2,17.4
u_200160,2026-03-11,influencer,India,Android,free,35-44,7.1.0,13
u_200161,2026-03-26,influencer,Saudi Arabia,iOS,free,18-24,7.1.0,17.4
u_200162,2026-04-24,organic_search,United States,Android,free,18-24,7.1.0,13
u_200163,2026-06-10,paid_search,India,iOS,free,25-34,7.0.0,18.0
u_200164,2026-03-23,paid_social,Pakistan,Android,free,18-24,7.0.1,12
u_200165,2026-06-21,paid_social,United Arab Emirates,iOS,free,35-44,6.9.2,18.2
u_200166,2026-04-22,paid_social,India,Web,pro_monthly,25-34,7.0.1,n/a
u_200167,2026-06-03,referral,United Kingdom,Android,pro_monthly,13-17,7.1.0,14
u_200168,2026-06-13,paid_search,India,iOS,free,18-24,6.9.0,16.5
u_200169,2026-03-06,influencer,India,Web,free,45+,7.0.0,n/a
u_200170,2026-04-15,paid_social,United States,Android,free,25-34,6.8.0,14
u_200171,2026-05-26,paid_social,United Kingdom,Android,free,35-44,7.1.0,15
u_200172,2026-06-08,influencer,India,Android,pro_monthly,35-44,7.1.0,13
u_200173,2026-03-05,paid_social,United Kingdom,Android,free,35-44,7.0.1,15
u_200174,2026-03-31,organic_search,Germany,iOS,free,18-24,7.0.0,18.2
u_200175,2026-03-28,referral,India,Web,free,25-34,6.9.2,n/a
u_200176,2026-03-22,paid_social,Saudi Arabia,iOS,free,25-34,7.0.0,18.2
u_200177,2026-03-30,paid_social,United States,Android,free,18-24,6.9.0,14
u_200178,2026-03-27,organic_search,United Arab Emirates,Android,enterprise,35-44,6.9.2,14
u_200179,2026-03-25,paid_search,Brazil,iOS,free,25-34,7.1.0,18.0
u_200180,2026-03-09,influencer,Pakistan,Android,free,18-24,7.0.1,13
u_200181,2026-03-16,paid_social,Brazil,iOS,free,18-24,7.1.0,18.2
u_200182,2026-05-04,organic_search,Pakistan,iOS,free,18-24,6.9.2,18.2
u_200183,2026-06-02,referral,Indonesia,iOS,free,25-34,7.1.0,17.4
u_200184,2026-04-09,influencer,United Arab Emirates,Android,free,18-24,7.1.0,13
